detailedoccupation,detailedname,majorgroup,minorgroup,broadgroup,majorname,minorname,broadname
45-2099,"Agricultural Workers, All Other",45-0000,45-2000,45-2090,"Farming, Fishing, and Forestry Occupations",Agricultural Workers,Miscellaneous Agricultural Workers
45-3011,Fishers and Related Fishing Workers,45-0000,45-3000,45-3010,"Farming, Fishing, and Forestry Occupations",Fishing and Hunting Workers,Fishers and Related Fishing Workers
45-3021,Hunters and Trappers,45-0000,45-3000,45-3020,"Farming, Fishing, and Forestry Occupations",Fishing and Hunting Workers,Hunters and Trappers
45-4011,Forest and Conservation Workers,45-0000,45-4000,45-4010,"Farming, Fishing, and Forestry Occupations","Forest, Conservation, and Logging Workers",Forest and Conservation Workers
45-4021,Fallers,45-0000,45-4000,45-4020,"Farming, Fishing, and Forestry Occupations","Forest, Conservation, and Logging Workers",Logging Workers
45-4022,Logging Equipment Operators,45-0000,45-4000,45-4020,"Farming, Fishing, and Forestry Occupations","Forest, Conservation, and Logging Workers",Logging Workers
45-4023,Log Graders and Scalers,45-0000,45-4000,45-4020,"Farming, Fishing, and Forestry Occupations","Forest, Conservation, and Logging Workers",Logging Workers
45-4029,"Logging Workers, All Other",45-0000,45-4000,45-4020,"Farming, Fishing, and Forestry Occupations","Forest, Conservation, and Logging Workers",Logging Workers
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,47-0000,47-1000,47-1010,Construction and Extraction Occupations,Supervisors of Construction and Extraction Workers,First-Line Supervisors of Construction Trades and Extraction Workers
47-2011,Boilermakers,47-0000,47-2000,47-2010,Construction and Extraction Occupations,Construction Trades Workers,Boilermakers
47-2021,Brickmasons and Blockmasons,47-0000,47-2000,47-2020,Construction and Extraction Occupations,Construction Trades Workers,"Brickmasons, Blockmasons, and Stonemasons"
47-2022,Stonemasons,47-0000,47-2000,47-2020,Construction and Extraction Occupations,Construction Trades Workers,"Brickmasons, Blockmasons, and Stonemasons"
47-2031,Carpenters,47-0000,47-2000,47-2030,Construction and Extraction Occupations,Construction Trades Workers,Carpenters
47-2041,Carpet Installers,47-0000,47-2000,47-2040,Construction and Extraction Occupations,Construction Trades Workers,"Carpet, Floor, and Tile Installers and Finishers"
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",47-0000,47-2000,47-2040,Construction and Extraction Occupations,Construction Trades Workers,"Carpet, Floor, and Tile Installers and Finishers"
47-2043,Floor Sanders and Finishers,47-0000,47-2000,47-2040,Construction and Extraction Occupations,Construction Trades Workers,"Carpet, Floor, and Tile Installers and Finishers"
47-2044,Tile and Marble Setters,47-0000,47-2000,47-2040,Construction and Extraction Occupations,Construction Trades Workers,"Carpet, Floor, and Tile Installers and Finishers"
47-2051,Cement Masons and Concrete Finishers,47-0000,47-2000,47-2050,Construction and Extraction Occupations,Construction Trades Workers,"Cement Masons, Concrete Finishers, and Terrazzo Workers"
47-2053,Terrazzo Workers and Finishers,47-0000,47-2000,47-2050,Construction and Extraction Occupations,Construction Trades Workers,"Cement Masons, Concrete Finishers, and Terrazzo Workers"
47-2061,Construction Laborers,47-0000,47-2000,47-2060,Construction and Extraction Occupations,Construction Trades Workers,Construction Laborers
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",47-0000,47-2000,47-2070,Construction and Extraction Occupations,Construction Trades Workers,Construction Equipment Operators
47-2072,Pile-Driver Operators,47-0000,47-2000,47-2070,Construction and Extraction Occupations,Construction Trades Workers,Construction Equipment Operators
47-2073,Operating Engineers and Other Construction Equipment Operators,47-0000,47-2000,47-2070,Construction and Extraction Occupations,Construction Trades Workers,Construction Equipment Operators
47-2081,Drywall and Ceiling Tile Installers,47-0000,47-2000,47-2080,Construction and Extraction Occupations,Construction Trades Workers,"Drywall Installers, Ceiling Tile Installers, and Tapers"
47-2082,Tapers,47-0000,47-2000,47-2080,Construction and Extraction Occupations,Construction Trades Workers,"Drywall Installers, Ceiling Tile Installers, and Tapers"
47-2111,Electricians,47-0000,47-2000,47-2110,Construction and Extraction Occupations,Construction Trades Workers,Electricians
47-2121,Glaziers,47-0000,47-2000,47-2120,Construction and Extraction Occupations,Construction Trades Workers,Glaziers
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",47-0000,47-2000,47-2130,Construction and Extraction Occupations,Construction Trades Workers,Insulation Workers
47-2132,"Insulation Workers, Mechanical",47-0000,47-2000,47-2130,Construction and Extraction Occupations,Construction Trades Workers,Insulation Workers
47-2141,"Painters, Construction and Maintenance",47-0000,47-2000,47-2140,Construction and Extraction Occupations,Construction Trades Workers,Painters and Paperhangers
47-2142,Paperhangers,47-0000,47-2000,47-2140,Construction and Extraction Occupations,Construction Trades Workers,Painters and Paperhangers
47-2151,Pipelayers,47-0000,47-2000,47-2150,Construction and Extraction Occupations,Construction Trades Workers,"Pipelayers, Plumbers, Pipefitters, and Steamfitters"
47-2152,"Plumbers, Pipefitters, and Steamfitters",47-0000,47-2000,47-2150,Construction and Extraction Occupations,Construction Trades Workers,"Pipelayers, Plumbers, Pipefitters, and Steamfitters"
47-2161,Plasterers and Stucco Masons,47-0000,47-2000,47-2160,Construction and Extraction Occupations,Construction Trades Workers,Plasterers and Stucco Masons
47-2171,Reinforcing Iron and Rebar Workers,47-0000,47-2000,47-2170,Construction and Extraction Occupations,Construction Trades Workers,Reinforcing Iron and Rebar Workers
47-2181,Roofers,47-0000,47-2000,47-2180,Construction and Extraction Occupations,Construction Trades Workers,Roofers
47-2211,Sheet Metal Workers,47-0000,47-2000,47-2210,Construction and Extraction Occupations,Construction Trades Workers,Sheet Metal Workers
47-2221,Structural Iron and Steel Workers,47-0000,47-2000,47-2220,Construction and Extraction Occupations,Construction Trades Workers,Structural Iron and Steel Workers
47-2231,Solar Photovoltaic Installers,47-0000,47-2000,47-2230,Construction and Extraction Occupations,Construction Trades Workers,Solar Photovoltaic Installers
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",47-0000,47-3000,47-3010,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades"
47-3012,Helpers--Carpenters,47-0000,47-3000,47-3010,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades"
47-3013,Helpers--Electricians,47-0000,47-3000,47-3010,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades"
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",47-0000,47-3000,47-3010,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades"
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",47-0000,47-3000,47-3010,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades"
47-3016,Helpers--Roofers,47-0000,47-3000,47-3010,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades"
47-3019,"Helpers, Construction Trades, All Other",47-0000,47-3000,47-3010,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades"
47-4011,Construction and Building Inspectors,47-0000,47-4000,47-4010,Construction and Extraction Occupations,Other Construction and Related Workers,Construction and Building Inspectors
47-4021,Elevator Installers and Repairers,47-0000,47-4000,47-4020,Construction and Extraction Occupations,Other Construction and Related Workers,Elevator Installers and Repairers
47-4031,Fence Erectors,47-0000,47-4000,47-4030,Construction and Extraction Occupations,Other Construction and Related Workers,Fence Erectors
47-4041,Hazardous Materials Removal Workers,47-0000,47-4000,47-4040,Construction and Extraction Occupations,Other Construction and Related Workers,Hazardous Materials Removal Workers
47-4051,Highway Maintenance Workers,47-0000,47-4000,47-4050,Construction and Extraction Occupations,Other Construction and Related Workers,Highway Maintenance Workers
47-4061,Rail-Track Laying and Maintenance Equipment Operators,47-0000,47-4000,47-4060,Construction and Extraction Occupations,Other Construction and Related Workers,Rail-Track Laying and Maintenance Equipment Operators
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,47-0000,47-4000,47-4070,Construction and Extraction Occupations,Other Construction and Related Workers,Septic Tank Servicers and Sewer Pipe Cleaners
47-4091,Segmental Pavers,47-0000,47-4000,47-4090,Construction and Extraction Occupations,Other Construction and Related Workers,Miscellaneous Construction and Related Workers
47-4099,"Construction and Related Workers, All Other",47-0000,47-4000,47-4090,Construction and Extraction Occupations,Other Construction and Related Workers,Miscellaneous Construction and Related Workers
47-5011,"Derrick Operators, Oil and Gas",47-0000,47-5000,47-5010,Construction and Extraction Occupations,Extraction Workers,"Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining"
47-5012,"Rotary Drill Operators, Oil and Gas",47-0000,47-5000,47-5010,Construction and Extraction Occupations,Extraction Workers,"Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining"
47-5013,"Service Unit Operators, Oil, Gas, and Mining",47-0000,47-5000,47-5010,Construction and Extraction Occupations,Extraction Workers,"Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining"
47-5021,"Earth Drillers, Except Oil and Gas",47-0000,47-5000,47-5020,Construction and Extraction Occupations,Extraction Workers,"Earth Drillers, Except Oil and Gas"
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",47-0000,47-5000,47-5030,Construction and Extraction Occupations,Extraction Workers,"Explosives Workers, Ordnance Handling Experts, and Blasters"
47-5041,Continuous Mining Machine Operators,47-0000,47-5000,47-5040,Construction and Extraction Occupations,Extraction Workers,Mining Machine Operators
47-5042,Mine Cutting and Channeling Machine Operators,47-0000,47-5000,47-5040,Construction and Extraction Occupations,Extraction Workers,Mining Machine Operators
47-5049,"Mining Machine Operators, All Other",47-0000,47-5000,47-5040,Construction and Extraction Occupations,Extraction Workers,Mining Machine Operators
47-5051,"Rock Splitters, Quarry",47-0000,47-5000,47-5050,Construction and Extraction Occupations,Extraction Workers,"Rock Splitters, Quarry"
47-5061,"Roof Bolters, Mining",47-0000,47-5000,47-5060,Construction and Extraction Occupations,Extraction Workers,"Roof Bolters, Mining"
47-5071,"Roustabouts, Oil and Gas",47-0000,47-5000,47-5070,Construction and Extraction Occupations,Extraction Workers,"Roustabouts, Oil and Gas"
47-5081,Helpers--Extraction Workers,47-0000,47-5000,47-5080,Construction and Extraction Occupations,Extraction Workers,Helpers--Extraction Workers
47-5099,"Extraction Workers, All Other",47-0000,47-5000,47-5090,Construction and Extraction Occupations,Extraction Workers,Miscellaneous Extraction Workers
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",49-0000,49-1000,49-1010,"Installation, Maintenance, and Repair Occupations","Supervisors of Installation, Maintenance, and Repair Workers","First-Line Supervisors of Mechanics, Installers, and Repairers"
49-2011,"Computer, Automated Teller, and Office Machine Repairers",49-0000,49-2000,49-2010,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Computer, Automated Teller, and Office Machine Repairers"
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairs",49-0000,49-2000,49-2020,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers",Radio and Telecommunications Equipment Installers and Repairers
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",49-0000,49-2000,49-2020,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers",Radio and Telecommunications Equipment Installers and Repairers
49-2091,Avionics Technicians,49-0000,49-2000,49-2090,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
49-2092,"Electric Motor, Power Tool, and Related Repairers",49-0000,49-2000,49-2090,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",49-0000,49-2000,49-2090,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",49-0000,49-2000,49-2090,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",49-0000,49-2000,49-2090,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",49-0000,49-2000,49-2090,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,49-0000,49-2000,49-2090,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
49-2098,Security and Fire Alarm Systems Installers,49-0000,49-2000,49-2090,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
49-3011,Aircraft Mechanics and Service Technicians,49-0000,49-3000,49-3010,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Aircraft Mechanics and Service Technicians
49-3021,Automotive Body and Related Repairers,49-0000,49-3000,49-3020,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Automotive Technicians and Repairers
49-3022,Automotive Glass Installers and Repairers,49-0000,49-3000,49-3020,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Automotive Technicians and Repairers
49-3023,Automotive Service Technicians and Mechanics,49-0000,49-3000,49-3020,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Automotive Technicians and Repairers
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,49-0000,49-3000,49-3030,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Bus and Truck Mechanics and Diesel Engine Specialists
49-3041,Farm Equipment Mechanics and Service Technicians,49-0000,49-3000,49-3040,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",49-0000,49-3000,49-3040,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
49-3043,Rail Car Repairers,49-0000,49-3000,49-3040,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
49-3051,Motorboat Mechanics and Service Technicians,49-0000,49-3000,49-3050,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Small Engine Mechanics
49-3052,Motorcycle Mechanics,49-0000,49-3000,49-3050,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Small Engine Mechanics
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,49-0000,49-3000,49-3050,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Small Engine Mechanics
49-3091,Bicycle Repairers,49-0000,49-3000,49-3090,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
49-3092,Recreational Vehicle Service Technicians,49-0000,49-3000,49-3090,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
49-3093,Tire Repairers and Changers,49-0000,49-3000,49-3090,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
49-9011,Mechanical Door Repairers,49-0000,49-9000,49-9010,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Control and Valve Installers and Repairers
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",49-0000,49-9000,49-9010,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Control and Valve Installers and Repairers
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",49-0000,49-9000,49-9020,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
49-9031,Home Appliance Repairers,49-0000,49-9000,49-9030,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Home Appliance Repairers
49-9041,Industrial Machinery Mechanics,49-0000,49-9000,49-9040,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Industrial Machinery Installation, Repair, and Maintenance Workers"
49-9043,"Maintenance Workers, Machinery",49-0000,49-9000,49-9040,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Industrial Machinery Installation, Repair, and Maintenance Workers"
49-9044,Millwrights,49-0000,49-9000,49-9040,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Industrial Machinery Installation, Repair, and Maintenance Workers"
49-9045,"Refractory Materials Repairers, Except Brickmasons",49-0000,49-9000,49-9040,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Industrial Machinery Installation, Repair, and Maintenance Workers"
49-9051,Electrical Power-Line Installers and Repairers,49-0000,49-9000,49-9050,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Line Installers and Repairers
49-9052,Telecommunications Line Installers and Repairers,49-0000,49-9000,49-9050,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Line Installers and Repairers
49-9061,Camera and Photographic Equipment Repairers,49-0000,49-9000,49-9060,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Precision Instrument and Equipment Repairers
49-9062,Medical Equipment Repairers,49-0000,49-9000,49-9060,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Precision Instrument and Equipment Repairers
49-9063,Musical Instrument Repairers and Tuners,49-0000,49-9000,49-9060,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Precision Instrument and Equipment Repairers
49-9064,Watch Repairers,49-0000,49-9000,49-9060,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Precision Instrument and Equipment Repairers
49-9069,"Precision Instrument and Equipment Repairers, All Other",49-0000,49-9000,49-9060,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Precision Instrument and Equipment Repairers
49-9071,"Maintenance and Repair Workers, General",49-0000,49-9000,49-9070,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Maintenance and Repair Workers, General"
49-9081,Wind Turbine Service Technicians,49-0000,49-9000,49-9080,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Wind Turbine Service Technicians
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",49-0000,49-9000,49-9090,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Miscellaneous Installation, Maintenance, and Repair Workers"
49-9092,Commercial Divers,49-0000,49-9000,49-9090,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Miscellaneous Installation, Maintenance, and Repair Workers"
49-9093,"Fabric Menders, Except Garment",49-0000,49-9000,49-9090,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Miscellaneous Installation, Maintenance, and Repair Workers"
49-9094,Locksmiths and Safe Repairers,49-0000,49-9000,49-9090,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Miscellaneous Installation, Maintenance, and Repair Workers"
49-9095,Manufactured Building and Mobile Home Installers,49-0000,49-9000,49-9090,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Miscellaneous Installation, Maintenance, and Repair Workers"
49-9096,Riggers,49-0000,49-9000,49-9090,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Miscellaneous Installation, Maintenance, and Repair Workers"
49-9097,Signal and Track Switch Repairers,49-0000,49-9000,49-9090,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Miscellaneous Installation, Maintenance, and Repair Workers"
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",49-0000,49-9000,49-9090,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Miscellaneous Installation, Maintenance, and Repair Workers"
49-9099,"Installation, Maintenance, and Repair Workers, All Other",49-0000,49-9000,49-9090,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Miscellaneous Installation, Maintenance, and Repair Workers"
51-1011,First-Line Supervisors of Production and Operating Workers,51-0000,51-1000,51-1010,Production Occupations,Supervisors of Production Workers,First-Line Supervisors of Production and Operating Workers
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-0000,51-2000,51-2010,Production Occupations,Assemblers and Fabricators,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
51-2021,"Coil Winders, Tapers, and Finishers",51-0000,51-2000,51-2020,Production Occupations,Assemblers and Fabricators,"Electrical, Electronics, and Electromechanical Assemblers"
51-2022,Electrical and Electronic Equipment Assemblers,51-0000,51-2000,51-2020,Production Occupations,Assemblers and Fabricators,"Electrical, Electronics, and Electromechanical Assemblers"
51-2023,Electromechanical Equipment Assemblers,51-0000,51-2000,51-2020,Production Occupations,Assemblers and Fabricators,"Electrical, Electronics, and Electromechanical Assemblers"
51-2031,Engine and Other Machine Assemblers,51-0000,51-2000,51-2030,Production Occupations,Assemblers and Fabricators,Engine and Other Machine Assemblers
51-2041,Structural Metal Fabricators and Fitters,51-0000,51-2000,51-2040,Production Occupations,Assemblers and Fabricators,Structural Metal Fabricators and Fitters
51-2091,Fiberglass Laminators and Fabricators,51-0000,51-2000,51-2090,Production Occupations,Assemblers and Fabricators,Miscellaneous Assemblers and Fabricators
51-2092,Team Assemblers,51-0000,51-2000,51-2090,Production Occupations,Assemblers and Fabricators,Miscellaneous Assemblers and Fabricators
51-2093,Timing Device Assemblers and Adjusters,51-0000,51-2000,51-2090,Production Occupations,Assemblers and Fabricators,Miscellaneous Assemblers and Fabricators
51-2099,"Assemblers and Fabricators, All Other",51-0000,51-2000,51-2090,Production Occupations,Assemblers and Fabricators,Miscellaneous Assemblers and Fabricators
51-3011,Bakers,51-0000,51-3000,51-3010,Production Occupations,Food Processing Workers,Bakers
51-3021,Butchers and Meat Cutters,51-0000,51-3000,51-3020,Production Occupations,Food Processing Workers,"Butchers and Other Meat, Poultry, and Fish Processing Workers"
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",51-0000,51-3000,51-3020,Production Occupations,Food Processing Workers,"Butchers and Other Meat, Poultry, and Fish Processing Workers"
51-3023,Slaughterers and Meat Packers,51-0000,51-3000,51-3020,Production Occupations,Food Processing Workers,"Butchers and Other Meat, Poultry, and Fish Processing Workers"
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51-0000,51-3000,51-3090,Production Occupations,Food Processing Workers,Miscellaneous Food Processing Workers
51-3092,Food Batchmakers,51-0000,51-3000,51-3090,Production Occupations,Food Processing Workers,Miscellaneous Food Processing Workers
51-3093,Food Cooking Machine Operators and Tenders,51-0000,51-3000,51-3090,Production Occupations,Food Processing Workers,Miscellaneous Food Processing Workers
51-3099,"Food Processing Workers, All Other",51-0000,51-3000,51-3090,Production Occupations,Food Processing Workers,Miscellaneous Food Processing Workers
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",51-0000,51-4000,51-4010,Production Occupations,Metal Workers and Plastic Workers,Computer Control Programmers and Operators
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",51-0000,51-4000,51-4010,Production Occupations,Metal Workers and Plastic Workers,Computer Control Programmers and Operators
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4020,Production Occupations,Metal Workers and Plastic Workers,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4020,Production Occupations,Metal Workers and Plastic Workers,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4020,Production Occupations,Metal Workers and Plastic Workers,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4030,Production Occupations,Metal Workers and Plastic Workers,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic"
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4030,Production Occupations,Metal Workers and Plastic Workers,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic"
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4030,Production Occupations,Metal Workers and Plastic Workers,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic"
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4030,Production Occupations,Metal Workers and Plastic Workers,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic"
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4030,Production Occupations,Metal Workers and Plastic Workers,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic"
51-4041,Machinists,51-0000,51-4000,51-4040,Production Occupations,Metal Workers and Plastic Workers,Machinists
51-4051,Metal-Refining Furnace Operators and Tenders,51-0000,51-4000,51-4050,Production Occupations,Metal Workers and Plastic Workers,"Metal Furnace Operators, Tenders, Pourers, and Casters"
51-4052,"Pourers and Casters, Metal",51-0000,51-4000,51-4050,Production Occupations,Metal Workers and Plastic Workers,"Metal Furnace Operators, Tenders, Pourers, and Casters"
51-4061,"Model Makers, Metal and Plastic",51-0000,51-4000,51-4060,Production Occupations,Metal Workers and Plastic Workers,"Model Makers and Patternmakers, Metal and Plastic"
51-4062,"Patternmakers, Metal and Plastic",51-0000,51-4000,51-4060,Production Occupations,Metal Workers and Plastic Workers,"Model Makers and Patternmakers, Metal and Plastic"
51-4071,Foundry Mold and Coremakers,51-0000,51-4000,51-4070,Production Occupations,Metal Workers and Plastic Workers,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4070,Production Occupations,Metal Workers and Plastic Workers,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic"
